well	radius	gfp	pi	viability	thresh	norm	date
126.0	0.0	37.662292	73.36012	0.2660210444077452	0.11674833619558372	0.4904481051577849	D1
127.0	37.20930821132997	4921.952	1868.8059	0.4891170399938384	0.07427016085387511	0.5168093658494428	D1
128.0	39.447898046743774	8049.1787	4277.411	0.2619109291245387	0.1170995051242147	0.5339248471749827	D1
129.0	37.15324418986121	5452.294	2709.9634	0.40855899853147515	0.09286381155379934	0.5436514353103129	D1
130.0	36.10873940499941	4712.026	1753.0531	0.3437322259111045	0.0671830304912267	0.4057097969331831	D1
131.0	36.73827380941259	7069.9453	2362.2551	0.2607498197008894	0.07758406477448615	0.4003788426252526	D1
132.0	38.94697381887067	6230.9946	2268.4546	0.34325330976716517	0.07836776671046981	0.44298943257325674	D1
133.0	37.49913134725503	5065.096	1377.2189	0.3557609633308493	0.05390283522198443	0.2897099957273395	D1
134.0	36.98272403030456	5620.2515	3164.7441	0.233884746798236	0.09725254600407678	0.474952236098836	D1
135.0	37.37879471967411	4976.015	1426.9198	0.3637982385024938	0.05585892451949663	0.320276693012637	D1
136.0	38.860551634043546	5420.3447	1368.1033	0.3533317669732279	0.04884323594351228	0.2536883563930301	D1
137.0	37.00271911492054	3757.753	1255.3921	0.3111453256262471	0.04814657649600556	0.2519292447839293	D1
138.0	34.557705811936444	2874.9324	863.67896	0.3458814652339526	0.04012799250055167	0.2259499990558185	D1
139.0	40.77724856274666	10047.681	4111.6406	0.20197826606922442	0.10427395819172287	0.41615947685549587	D1
140.0	34.8000829287579	4477.676	1257.0903	0.60256535299495	0.06383802245542222	0.5376699025206805	D1
141.0	37.214729279500155	4739.9697	1271.1576	0.472251888570953	0.05482461460651008	0.38010411687691575	D1
142.0	35.81892994977231	4470.723	2309.3135	0.38100991581126464	0.0878795258928564	0.5602033930447565	D1
143.0	35.90518201297242	5654.5635	2026.1167	0.44905865900277286	0.08130227806120638	0.5389687290014435	D1
144.0	37.31577799341177	4442.3906	1841.5085	0.3880782810262867	0.07082371481636615	0.4308908803811048	D1
145.0	35.228342759061896	5334.5586	1827.488	0.295957617797557	0.06790538028822257	0.38699067220828914	D1
146.0	36.38145808889903	4293.9463	2946.8547	0.24257580887046604	0.09637819030714109	0.5119410322134972	D1
147.0	36.853403857593236	5155.5483	2383.0725	0.41506884126611177	0.08747729509339842	0.53856528548677	D1
148.0	35.89394349779921	4755.4414	1960.5355	0.2727814945704665	0.06710549903400374	0.34864565851331464	D1
149.0	37.019070696600686	4763.721	1860.0682	0.3040721185950017	0.06700724589068516	0.3647373326099137	D1
150.0	37.667313800276155	5522.2773	2436.5999	0.3133451216027263	0.08268777383484072	0.4584931331418134	D1
151.0	35.77196660198988	4625.8833	2862.536	0.2101447676303324	0.08424314554219621	0.36972329791979097	D1
152.0	36.48850060546816	4053.8784	1322.1898	0.4720061457138568	0.05655823289112349	0.3755365974528584	D1
153.0	39.21367221160571	6729.9097	2474.478	0.32377470645473583	0.08154735994880997	0.4478005216273062	D1
154.0	34.71495918281153	4832.287	976.85596	0.6434497629796867	0.05652805476027438	0.5012560455075801	D1
